section,protocol,model,file,description
Main text,LOSO,All models,outputs\thesis_figures\model_diagnostics\main_text\mean_learning_curves_loso.png,Mean train/validation accuracy and loss across outer folds (±1 SD).
Main text,LOSO,All models,outputs\thesis_figures\model_diagnostics\main_text\pooled_confusion_matrices_loso.png,"Pooled epoch-level confusion matrices, one panel per model."
Appendix,LOSO,Raw EEGNet-like,outputs\thesis_figures\model_diagnostics\appendix\loso_raw_eegnetlike_all_fold_learning_curves.png,Train/validation accuracy and loss for every outer fold.
Appendix,LOSO,Raw EEGNet-like,outputs\thesis_figures\model_diagnostics\appendix\loso_raw_eegnetlike_all_fold_confusion_matrices.png,Epoch-level confusion matrix for every outer fold.
Appendix,LOSO,1D feature CNN,outputs\thesis_figures\model_diagnostics\appendix\loso_features1d_cnn_all_fold_learning_curves.png,Train/validation accuracy and loss for every outer fold.
Appendix,LOSO,1D feature CNN,outputs\thesis_figures\model_diagnostics\appendix\loso_features1d_cnn_all_fold_confusion_matrices.png,Epoch-level confusion matrix for every outer fold.
Appendix,LOSO,2D feature CNN,outputs\thesis_figures\model_diagnostics\appendix\loso_features2d_cnn_all_fold_learning_curves.png,Train/validation accuracy and loss for every outer fold.
Appendix,LOSO,2D feature CNN,outputs\thesis_figures\model_diagnostics\appendix\loso_features2d_cnn_all_fold_confusion_matrices.png,Epoch-level confusion matrix for every outer fold.
Appendix,LOSO,Hybrid CNN,outputs\thesis_figures\model_diagnostics\appendix\loso_hybrid_cnn_all_fold_learning_curves.png,Train/validation accuracy and loss for every outer fold.
Appendix,LOSO,Hybrid CNN,outputs\thesis_figures\model_diagnostics\appendix\loso_hybrid_cnn_all_fold_confusion_matrices.png,Epoch-level confusion matrix for every outer fold.
Main text,GroupKFold,All models,outputs\thesis_figures\model_diagnostics\main_text\mean_learning_curves_groupkfold.png,Mean train/validation accuracy and loss across outer folds (±1 SD).
Main text,GroupKFold,All models,outputs\thesis_figures\model_diagnostics\main_text\pooled_confusion_matrices_groupkfold.png,"Pooled epoch-level confusion matrices, one panel per model."
Appendix,GroupKFold,Raw EEGNet-like,outputs\thesis_figures\model_diagnostics\appendix\groupkfold_raw_eegnetlike_all_fold_learning_curves.png,Train/validation accuracy and loss for every outer fold.
Appendix,GroupKFold,Raw EEGNet-like,outputs\thesis_figures\model_diagnostics\appendix\groupkfold_raw_eegnetlike_all_fold_confusion_matrices.png,Epoch-level confusion matrix for every outer fold.
Appendix,GroupKFold,1D feature CNN,outputs\thesis_figures\model_diagnostics\appendix\groupkfold_features1d_cnn_all_fold_learning_curves.png,Train/validation accuracy and loss for every outer fold.
Appendix,GroupKFold,1D feature CNN,outputs\thesis_figures\model_diagnostics\appendix\groupkfold_features1d_cnn_all_fold_confusion_matrices.png,Epoch-level confusion matrix for every outer fold.
Appendix,GroupKFold,2D feature CNN,outputs\thesis_figures\model_diagnostics\appendix\groupkfold_features2d_cnn_all_fold_learning_curves.png,Train/validation accuracy and loss for every outer fold.
Appendix,GroupKFold,2D feature CNN,outputs\thesis_figures\model_diagnostics\appendix\groupkfold_features2d_cnn_all_fold_confusion_matrices.png,Epoch-level confusion matrix for every outer fold.
Appendix,GroupKFold,Hybrid CNN,outputs\thesis_figures\model_diagnostics\appendix\groupkfold_hybrid_cnn_all_fold_learning_curves.png,Train/validation accuracy and loss for every outer fold.
Appendix,GroupKFold,Hybrid CNN,outputs\thesis_figures\model_diagnostics\appendix\groupkfold_hybrid_cnn_all_fold_confusion_matrices.png,Epoch-level confusion matrix for every outer fold.
